gene_name	description	ebi_biotype
PF3D7-0612700	P12_6-cysteine_protein_P12	protein_coding
PF3D7-0612800	P12p_6-cysteine_protein_P12p	protein_coding
PF3D7-0612900	NOG1_nucleolar_GTP-binding_protein_1%2C_putative	protein_coding
PF3D7-0613000	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0613100	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0613200	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0613300	ROP14_rhoptry_protein_ROP14	protein_coding
PF3D7-0613400	RPL18_50S_ribosomal_protein_L18%2C_apicoplast%2C_putative	protein_coding
PF3D7-0613500	AP-3_complex_subunit_beta%2C_putative	protein_coding
PF3D7-0613600	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0613700	syntaxin-binding_protein%2C_putative	protein_coding
PF3D7-0613800	ApiAP2_AP2_domain_transcription_factor%2C_putative	protein_coding
PF3D7-0613900	MyoE_myosin_E%2C_putative	protein_coding
PF3D7-0614000	thiamine-phosphate_synthase%2C_putative	protein_coding
PF3D7-0614100	filamin_domain-containing_protein%2C_putative	protein_coding
PF3D7-0614200	NAR1_cytosolic_Fe-S_cluster_assembly_factor_NAR1%2C_putative	protein_coding
PF3D7-0614300	MFR1_major_facilitator_superfamily-related_transporter%2C_putative	protein_coding
PF3D7-0614400	CWF7_pre-mRNA-splicing_factor_CWF7%2C_putative	protein_coding
PF3D7-0614500	RPL19_60S_ribosomal_protein_L19	protein_coding
PF3D7-0614600	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0614700	F-box_protein_FBXO6%2C_putative	protein_coding
PF3D7-0614800	NTHL1_endonuclease_III-like_protein_1%2C_putative	protein_coding
PF3D7-0614900	conserved_Plasmodium_membrane_protein%2C_unknown_function	protein_coding
PF3D7-0615000	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0615100	ENR_enoyl-acyl_carrier_reductase	protein_coding
PF3D7-0615200	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0615300	GWT1_GPI-anchored_wall_transfer_protein_1%2C_putative	protein_coding
PF3D7-0615400	ribonuclease%2C_putative	protein_coding
PF3D7-0615500	CRK5_cdc2-related_protein_kinase_5	protein_coding
PF3D7-0615600	zinc_finger_protein%2C_putative	protein_coding
PF3D7-0615700	ALYREF_THO_complex_subunit_4%2C_putative	protein_coding
PF3D7-0615800	COG4_conserved_oligomeric_Golgi_complex_subunit_4%2C_putative	protein_coding
PF3D7-0615900	protein_phosphatase%2C_putative	protein_coding
PF3D7-0616000	PDXK_pyridoxal_kinase	protein_coding
PF3D7-0616100	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0616200	NDC80_kinetochore_protein_NDC80	protein_coding
PF3D7-0616300	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0616400	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0616500	TLP_TRAP-like_protein	protein_coding
PF3D7-0616600	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0616700	ras_GTPAse%2C_putative	protein_coding
PF3D7-0616800	MQO_malate:quinone_oxidoreductase	protein_coding
PF3D7-0616900	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0617000	TOM40_mitochondrial_import_receptor_subunit_TOM40%2C_putative	protein_coding
PF3D7-0617100	AP-2_complex_subunit_alpha%2C_putative	protein_coding
PF3D7-0617200	BFR1_domain-containing_protein%2C_putative	protein_coding
PF3D7-0617300	RNA-binding_protein%2C_putative	protein_coding
PF3D7-0617400	VAR_erythrocyte_membrane_protein_1%2C_PfEMP1	protein_coding
PF3D7-0617500	RIF_PIR_protein%2C_pseudogene	pseudogene
PF3D7-0617600	PIR_protein	protein_coding
PF3D7-0617700	RIF_PIR_protein	protein_coding
PF3D7-0617800	H2A_histone_H2A	protein_coding
PF3D7-0617900	H3.3_histone_H3_variant	protein_coding
PF3D7-0618000	conserved_Plasmodium_membrane_protein%2C_unknown_function	protein_coding
PF3D7-0618100	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0618200	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0618300	60S_ribosomal_protein_L27a%2C_putative	protein_coding
PF3D7-0618400	LMBR1_domain-containing_protein%2C_putative	protein_coding
PF3D7-0618500	MDH_malate_dehydrogenase	protein_coding
PF3D7-0618600	ROM10_rhomboid_protease_ROM10	protein_coding
PF3D7-0618700	trafficking_protein_particle_complex_subunit_6A%2C_putative	protein_coding
PF3D7-0618800	heptatricopeptide_repeat-containing_protein%2C_putative	protein_coding
PF3D7-0618900	GPI1_phosphatidylinositol_N-acetylglucosaminyltransferase_subunit_GPI1	protein_coding
PF3D7-0619000	FPL_domain-containing_protein%2C_putative	protein_coding
PF3D7-0619100	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0619200	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0619300	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0619400	cell_division_cycle_protein_48_homologue%2C_putative	protein_coding
PF3D7-0619500	ACS12_acyl-CoA_synthetase	protein_coding
PF3D7-0619600	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0619700	F-box_protein_FBXO1%2C_putative	protein_coding
PF3D7-0619800	WD_repeat-containing_protein%2C_putative	protein_coding
PF3D7-0619900	SF3A2_splicing_factor_3A_subunit_2%2C_putative	protein_coding
PF3D7-0620000	PIMMS43_ookinete_surface-associated_protein_8%2C_putative	protein_coding
PF3D7-0620100	ATPTG12_ATP_synthase-associated_protein%2C_putative	protein_coding
PF3D7-0620200	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0620300	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0620400	MSP10_merozoite_surface_protein_10	protein_coding
PF3D7-0620500	cleavage_stimulation_factor_subunit_1%2C_putative	protein_coding
PF3D7-0620600	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0620700	DnaJ_protein%2C_putative	protein_coding
PF3D7-0620800	tRNA_Alanine	tRNA
PF3D7-0620900	tRNA_Leucine	tRNA
PF3D7-0621000	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0621100	tetratricopeptide_repeat_protein%2C_putative	protein_coding
PF3D7-0621200	PDX1_pyridoxine_biosynthesis_protein_PDX1	protein_coding
PF3D7-0621300	PUF3_mRNA-binding_protein_PUF3	protein_coding
PF3D7-0621350	SYS1_protein_SYS1%2C_putative	protein_coding
PF3D7-0621400	ALV7_inner_membrane_complex_protein_1j%2C_putative	protein_coding
PF3D7-0621500	RPP1_ribonuclease_P/MRP_protein_subunit_RPP1%2C_putative	protein_coding
PF3D7-0621600	tRNA_Serine	tRNA
PF3D7-0621700	RAP_protein%2C_putative	protein_coding
PF3D7-0621800	nascent_polypeptide-associated_complex_subunit_alpha%2C_putative	protein_coding
PF3D7-0621900	SRP68_signal_recognition_particle_subunit_SRP68%2C_putative	protein_coding
PF3D7-0622000	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0622100	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0622200	MIAB_tRNA-2-methylthio-N(6)-dimethylallyladenosine_synthase	protein_coding
PF3D7-0622300	vacuolar_transporter_chaperone%2C_putative	protein_coding
PF3D7-0622400	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0622500	RNA_methyltransferase%2C_putative	protein_coding
PF3D7-0622600	QCR9_cytochrome_b-c1_complex_subunit_9%2C_putative	protein_coding
PF3D7-0622700	conserved_Plasmodium_membrane_protein%2C_unknown_function	protein_coding
PF3D7-0622800	leucine--tRNA_ligase%2C_putative	protein_coding
PF3D7-0622900	AP2Tel_AP2_domain_transcription_factor_AP2Tel	protein_coding
PF3D7-0623000	CS_chorismate_synthase	protein_coding
PF3D7-0623100	NAB2_nuclear_polyadenylated_RNA-binding_protein_NAB2%2C_putative	protein_coding
PF3D7-0623200	FNR_ferredoxin--NADP_reductase	protein_coding
PF3D7-0623300	EGF-like_membrane_protein%2C_putative	protein_coding
PF3D7-0623400	Mei2_MEI2-like_RNA-binding_protein	protein_coding
PF3D7-0623500	SOD2_superoxide_dismutase_[Fe]	protein_coding
PF3D7-0623600	splicing_factor-like_protein_1%2C_putative	protein_coding
PF3D7-0623700	SUV3_ATP-dependent_RNA_helicase_SUV3%2C_putative	protein_coding
PF3D7-0623800	TKL4_tyrosine_kinase-like_protein%2C_putative	protein_coding
PF3D7-0623900	ribonuclease_H2_subunit_A%2C_putative	protein_coding
PF3D7-0624000	HK_hexokinase	protein_coding
PF3D7-0624100	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0624200	SURP_domain-containing_protein%2C_putative	protein_coding
PF3D7-0624300	CPW-WPC_family_protein	protein_coding
PF3D7-0624400	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0624500	APC11_anaphase-promoting_complex_subunit_11%2C_putative	protein_coding
PF3D7-0624600	ISWI_ISWI_chromatin-remodeling_complex_ATPase	protein_coding
PF3D7-0624700	PIGL_N-acetylglucosaminyl-phosphatidylinositol_de-N-acetylase%2C_putative	protein_coding
PF3D7-0624800	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0624900	GAS8-like_protein%2C_putative	protein_coding
PF3D7-0625000	SMS1_sphingomyelin_synthase_1%2C_putative	protein_coding
PF3D7-0625100	SMS2_sphingomyelin_synthase_2%2C_putative	protein_coding
PF3D7-0625200	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0625300	MtDNAP_mitochondrial_DNA_polymerase	protein_coding
PF3D7-0625400	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0625500	conserved_Plasmodium_membrane_protein%2C_unknown_function	protein_coding
PF3D7-0625600	PAP_poly(A)_polymerase_PAP%2C_putative	protein_coding
PF3D7-0625700	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0625800	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0625900	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0626000	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0626100	oxidoreductase%2C_short-chain_dehydrogenase_family%2C_putative	protein_coding
PF3D7-0626200	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0626300	FabB/FabF_3-oxoacyl-acyl-carrier_protein_synthase_I/II	protein_coding
PF3D7-0626400	CRAL/TRIO_domain-containing_protein%2C_putative	protein_coding
PF3D7-0626500	CEP135_centrosomal_protein_CEP135%2C_putative	protein_coding
PF3D7-0626600	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0626700	ATPase	protein_coding
PF3D7-0626800	PyrK_pyruvate_kinase	protein_coding
PF3D7-0626840	small_nucleolar_RNA_snoR35	ncRNA
PF3D7-0626900	ribosomal_protein_L46%2C_mitochondrial%2C_putative	protein_coding
PF3D7-0627000	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0627100	ankyrin-repeat_protein%2C_putative	protein_coding
PF3D7-0627200	PLC5_myosin_light_chain%2C_putative	protein_coding
PF3D7-0627300	RNF5_E3_ubiquitin-protein_ligase_RNF5%2C_putative	protein_coding
PF3D7-0627400	TIM22_mitochondrial_import_inner_membrane_translocase_subunit_TIM22%2C_putative	protein_coding
PF3D7-0627500	DJ1_protein_DJ-1	protein_coding
PF3D7-0627600	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0627700	transportin	protein_coding
PF3D7-0627800	ACAS_acetyl-CoA_synthetase	protein_coding
PF3D7-0627900	POP4_ribonuclease_P_protein_subunit_p29%2C_putative	protein_coding
PF3D7-0628000	PTPS_6-pyruvoyltetrahydropterin_synthase	protein_coding
PF3D7-0628100	HECT1_HECT_domain-containing_protein_1%2C_putative	protein_coding
PF3D7-0628200	PK4_eukaryotic_translation_initiation_factor_2-alpha_kinase	protein_coding
PF3D7-0628300	CEPT_choline/ethanolaminephosphotransferase%2C_putative	protein_coding
PF3D7-0628400	protease%2C_putative	protein_coding
PF3D7-0628500	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0628600	DNA_methyltransferase_1-associated_protein_1%2C_putative	protein_coding
PF3D7-0628700	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0628800	GATB_glutamyl-tRNA(Gln)_amidotransferase_subunit_B	protein_coding
PF3D7-0628900	RAP_protein%2C_putative	protein_coding
PF3D7-0629000	GNA1_glucosamine_6-phosphate_N-acetyltransferase	protein_coding
PF3D7-0629100	NAPRT_nicotinate_phosphoribosyltransferase%2C_putative	protein_coding
PF3D7-0629200	DnaJ_protein%2C_putative	protein_coding
PF3D7-0629300	PL_phosphatidylcholine-sterol_acyltransferase%2C_putative	protein_coding
PF3D7-0629400	PABP3_polyadenylate-binding_protein_3%2C_putative	protein_coding
PF3D7-0629500	AAT1_amino_acid_transporter_AAT1	protein_coding
PF3D7-0629600	ribosomal_RNA-processing_protein_7%2C_putative	protein_coding
PF3D7-0629700	SET1_SET_domain_protein%2C_putative	protein_coding
PF3D7-0629800	cullin-2%2C_putative	protein_coding
PF3D7-0629900	CRAL/TRIO_domain-containing_protein%2C_putative	protein_coding
PF3D7-0630000	CPW-WPC_family_protein	protein_coding
PF3D7-0630100	alpha/beta_hydrolase%2C_putative	protein_coding
PF3D7-0630200	PSOP6_secreted_ookinete_protein%2C_putative	protein_coding
PF3D7-0630300	DNA_polymerase_epsilon_catalytic_subunit_A%2C_putative	protein_coding
PF3D7-0630400	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0630500	YTM1_ribosome_biogenesis_protein_YTM1%2C_putative	protein_coding
PF3D7-0630600	deubiquitinating_enzyme_MINDY%2C_putative	protein_coding
PF3D7-0630700	bifunctional_methylenetetrahydrofolate_dehydrogenase/cyclohydrolase%2C_putative	protein_coding
PF3D7-0630800	TPH_domain-containing_protein%2C_putative	protein_coding
PF3D7-0630900	HAS1_ATP-dependent_RNA_helicase_HAS1	protein_coding
PF3D7-0631000	tetratricopeptide_repeat_protein%2C_putative	protein_coding
PF3D7-0631100	MEC_domain-containing_protein	protein_coding
PF3D7-0631200	VAR_erythrocyte_membrane_protein_1_(PfEMP1)%2C_pseudogene	pseudogene
PF3D7-0631300	EPF1_exported_protein_family_1	protein_coding
PF3D7-0631400	MC-2TM_Pfmc-2TM_Maurer's_cleft_two_transmembrane_protein	protein_coding
PF3D7-0631500	EPF3_Plasmodium_exported_protein_(hyp4)%2C_unknown_function	protein_coding
PF3D7-0631600	EPF4_Plasmodium_exported_protein_(hyp5)%2C_unknown_function	protein_coding
PF3D7-0631700	PIR_protein%2C_pseudogene	pseudogene
PF3D7-0631800	RIF_PIR_protein	protein_coding
PF3D7-0631900	PIR_protein	protein_coding
PF3D7-0632000	RIF_PIR_protein	protein_coding
PF3D7-0632100	RIF_PIR_protein	protein_coding
PF3D7-0632200	RIF_PIR_protein	protein_coding
PF3D7-0632250	Plasmodium_exported_protein%2C_unknown_function%2C_fragment%2C_pseudogene	pseudogene
PF3D7-0632300	RIF_PIR_protein	protein_coding
PF3D7-0632400	RIF_PIR_protein	protein_coding
PF3D7-0632500	VAR_erythrocyte_membrane_protein_1%2C_PfEMP1	protein_coding
PF3D7-0632600	RIF_PIR_protein%2C_pseudogene	pseudogene
PF3D7-0632700	RIF_PIR_protein	protein_coding
PF3D7-0632800	VAR_erythrocyte_membrane_protein_1%2C_PfEMP1	protein_coding
PF3D7-0700100	VAR_erythrocyte_membrane_protein_1%2C_PfEMP1	protein_coding
PF3D7-0700200	RIF_PIR_protein	protein_coding
PF3D7-0700300	RIF_PIR_protein	protein_coding
PF3D7-0700400	stevor	protein_coding
PF3D7-0700500	RIF_PIR_protein	protein_coding
PF3D7-0700600	Plasmodium_exported_protein%2C_unknown_function%2C_pseudogene	pseudogene
PF3D7-0700700	PIR_protein%2C_pseudogene	pseudogene
PF3D7-0700800	MC-2TM_Pfmc-2TM_Maurer's_cleft_two_transmembrane_protein	protein_coding
PF3D7-0700900	EPF1_exported_protein_family_1%2C_pseudogene	pseudogene
PF3D7-0701000	erythrocyte_membrane_protein_1_(PfEMP1)%2C_pseudogene	pseudogene
PF3D7-0701100	RIF_PIR_protein	protein_coding
PF3D7-0701200	RIF_PIR_protein%2C_pseudogene	pseudogene
PF3D7-0701300	RIF_PIR_protein%2C_pseudogene	pseudogene
PF3D7-0701400	EPF4_Plasmodium_exported_protein_(hyp5)%2C_unknown_function%2C_pseudogene	pseudogene
PF3D7-0701500	EPF3_Plasmodium_exported_protein_(hyp4)%2C_unknown_function	protein_coding
PF3D7-0701600	MC-2TM_Pfmc-2TM_Maurer's_cleft_two_transmembrane_protein	protein_coding
PF3D7-0701700	EPF1_exported_protein_family_1	protein_coding
PF3D7-0701800	RIF_PIR_protein	protein_coding
PF3D7-0701900	Plasmodium_exported_protein%2C_unknown_function	protein_coding
PF3D7-0702000	Plasmodium_exported_protein_(hyp12)%2C_unknown_function	protein_coding
PF3D7-0702100	Plasmodium_exported_protein_(PHISTb)%2C_unknown_function%2C_pseudogene	pseudogene
PF3D7-0702200	LPL20_lysophospholipase_LPL20	protein_coding
PF3D7-0702300	STARP_sporozoite_threonine_and_asparagine-rich_protein	protein_coding
PF3D7-0702400	SEMP1_small_exported_membrane_protein_1	protein_coding
PF3D7-0702500	Plasmodium_exported_protein%2C_unknown_function	protein_coding
PF3D7-0702600	chitinase%2C_fragment	protein_coding
PF3D7-0702700	tRNA_Alanine	tRNA
PF3D7-0702800	tRNA_Tyrosine	tRNA
PF3D7-0702900	centrin%2C_putative	protein_coding
PF3D7-0703000	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0703100	CIA2_cytosolic_iron-sulfur_assembly_component_2%2C_putative	protein_coding
PF3D7-0703200	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0703300	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0703400	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0703500	erythrocyte_membrane-associated_antigen	protein_coding
PF3D7-0703600	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0703700	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0703800	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0703900	conserved_Plasmodium_membrane_protein%2C_unknown_function	protein_coding
PF3D7-0704000	conserved_Plasmodium_membrane_protein%2C_unknown_function	protein_coding
PF3D7-0704100	BTP2_basal_complex_transmembrane_protein_2	protein_coding
PF3D7-0704200	NSUN1_RNA_cytosine_C(5)-methyltransferase%2C_putative	protein_coding
PF3D7-0704300	BLEB_basolateral_expansion_boundary_protein_BLEB	protein_coding
PF3D7-0704400	phosphoinositide-binding_protein%2C_putative	protein_coding
PF3D7-0704500	serine/threonine_protein_kinase%2C_putative	protein_coding
PF3D7-0704600	UT_HECT-type_E3_ubiquitin_ligase_UT	protein_coding
PF3D7-0704700	PPAT_phosphopantetheine_adenylyltransferase%2C_putative	protein_coding
PF3D7-0704800	PPM12_protein_phosphatase_PPM12%2C_putative	protein_coding
PF3D7-0704900	RF2_peptide_chain_release_factor_2	protein_coding
PF3D7-0705000	mRNA_cap_guanine-N7_methyltransferase%2C_putative	protein_coding
PF3D7-0705100	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0705200	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0705300	ORC2_origin_recognition_complex_subunit_2	protein_coding
PF3D7-0705400	MCM7_DNA_replication_licensing_factor_MCM7	protein_coding
PF3D7-0705500	inositol-phosphate_phosphatase%2C_putative	protein_coding
PF3D7-0705600	RNA_helicase%2C_putative	protein_coding
PF3D7-0705700	40S_ribosomal_protein_S29%2C_putative	protein_coding
PF3D7-0705800	CRISP_cysteine-rich_secretory_protein	protein_coding
PF3D7-0705900	ATP_synthase_subunit_C%2C_putative	protein_coding
PF3D7-0706000	importin-7%2C_putative	protein_coding
PF3D7-0706100	EF_hand_domain-containing_protein%2C_putative	protein_coding
PF3D7-0706200	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0706300	AKIT11_apicomplexan_kinetochore_protein_11%2C_putative	protein_coding
PF3D7-0706400	RPL37_60S_ribosomal_protein_L37	protein_coding
PF3D7-0706500	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0706600	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0706700	MSH2-2_DNA_mismatch_repair_protein_MSH2%2C_putative	protein_coding
PF3D7-0706800	tRNA_Threonine	tRNA
PF3D7-0706900	tRNA_Histidine	tRNA
PF3D7-0707000	tRNA_Lysine	tRNA
PF3D7-0707100	tRNA_Lysine	tRNA
PF3D7-0707200	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0707300	RAMA_rhoptry-associated_membrane_antigen	protein_coding
PF3D7-0707400	ATAD3A_ATPase_family_AAA_domain-containing_protein_3A%2C_putative	protein_coding
PF3D7-0707420	nucleolar_RNA_snoR36	snoRNA
PF3D7-0707500	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0707600	MED10_mediator_of_RNA_polymerase_II_transcription_subunit_10%2C_putative	protein_coding
PF3D7-0707700	E3_ubiquitin-protein_ligase%2C_putative	protein_coding
PF3D7-0707800	RAP_protein%2C_putative	protein_coding
PF3D7-0707900	ribosomal_protein_S8e%2C_putative	protein_coding
PF3D7-0708000	cytoskeleton_associated_protein%2C_putative	protein_coding
PF3D7-0708100	RPB10_DNA-directed_RNA_polymerases_I%2C_II%2C_and_III_subunit_RPABC5%2C_putative	protein_coding
PF3D7-0708200	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0708300	BUD32_EKC/KEOPS_complex_subunit_BUD32	protein_coding
PF3D7-0708400	HSP90_heat_shock_protein_90	protein_coding
PF3D7-0708500	heat_shock_protein_86_family_protein	protein_coding
PF3D7-0708600	IMC1d_inner_membrane_complex_protein_1d%2C_putative	protein_coding
PF3D7-0708700	COX4_Cg8_protein	protein_coding
PF3D7-0708800	HSP110c_heat_shock_protein_110	protein_coding
PF3D7-0708900	SCO1_Cg3_protein	protein_coding
PF3D7-0709000	CRT_chloroquine_resistance_transporter	protein_coding
PF3D7-0709050	small_nucleolar_RNA	snoRNA
PF3D7-0709100	Cg1_protein	protein_coding
PF3D7-0709200	GLP3_Cg6_protein	protein_coding
PF3D7-0709300	MED14_Cg2_protein	protein_coding
PF3D7-0709400	Cg7_protein	protein_coding
PF3D7-0709500	nucleic_acid-binding_protein%2C_putative	protein_coding
PF3D7-0709600	POP1_ribonucleases_P/MRP_protein_subunit_POP1%2C_putative	protein_coding
PF3D7-0709700	PARE_monoglyceride_lipase	protein_coding
PF3D7-0709800	protein_BRAWNIN%2C_putative	protein_coding
PF3D7-0709900	hydrolase%2C_putative	protein_coding
PF3D7-0710000	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0710100	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0710200	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0710300	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0710400	RAD14_DNA_repair_protein_RAD14%2C_putative	protein_coding
PF3D7-0710500	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0710600	RPL34_60S_ribosomal_protein_L34	protein_coding
PF3D7-0710700	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0710800	USE1_protein_transport_protein_USE1%2C_putative	protein_coding
PF3D7-0710900	RPL1_50S_ribosomal_protein_L1%2C_mitochondrial%2C_putative	protein_coding
PF3D7-0711000	CDC48_AAA_family_ATPase%2C_CDC48_subfamily	protein_coding
PF3D7-0711100	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0711200	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0711300	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0711400	SAP18_histone_deacetylase_complex_subunit_SAP18%2C_putative	protein_coding
PF3D7-0711500	regulator_of_chromosome_condensation%2C_putative	protein_coding
PF3D7-0711600	Plasmodium_RNA_of_unknown_function_RUF6-1	ncRNA
PF3D7-0711700	VAR_erythrocyte_membrane_protein_1%2C_PfEMP1	protein_coding
PF3D7-0711800	Plasmodium_RNA_of_unknown_function_RUF6-2	ncRNA
PF3D7-0711900	RIF_PIR_protein%2C_pseudogene	pseudogene
PF3D7-0712000	VAR_erythrocyte_membrane_protein_1%2C_PfEMP1	protein_coding
PF3D7-0712100	Plasmodium_RNA_of_unknown_function_RUF6-12	ncRNA
PF3D7-0712200	RIF_PIR_protein%2C_pseudogene	pseudogene
PF3D7-0712300	VAR_erythrocyte_membrane_protein_1%2C_PfEMP1	protein_coding
PF3D7-0712400	VAR_erythrocyte_membrane_protein_1%2C_PfEMP1	protein_coding
PF3D7-0712500	RIF_rifin%2C_pseudogene	pseudogene
PF3D7-0712600	VAR_erythrocyte_membrane_protein_1%2C_PfEMP1	protein_coding
PF3D7-0712700	Plasmodium_RNA_of_unknown_function_RUF6-13	ncRNA
PF3D7-0712800	VAR_erythrocyte_membrane_protein_1%2C_PfEMP1	protein_coding
PF3D7-0712900	VAR_erythrocyte_membrane_protein_1%2C_PfEMP1	protein_coding
PF3D7-0713000	RIF_PIR_protein	protein_coding
PF3D7-0713100	MC-2TM_Pfmc-2TM_Maurer's_cleft_two_transmembrane_protein	protein_coding
PF3D7-0713200	EPF1_exported_protein_family_1	protein_coding
PF3D7-0713300	VAR_erythrocyte_membrane_protein_1_(PfEMP1)%2C_pseudogene	pseudogene
PF3D7-0713400	SR25_serpentine_receptor_SR25	protein_coding
PF3D7-0713500	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0713600	ribosomal_protein_S5%2C_mitochondrial%2C_putative	protein_coding
PF3D7-0713700	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0713800	NELFA_negative_elongation_factor_A%2C_putative	protein_coding
PF3D7-0713900	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0714000	H2B.Z_histone_H2B_variant	protein_coding
PF3D7-0714100	MAATS1_domain-containing_protein%2C_putative	protein_coding
PF3D7-0714200	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0714300	DHHC4_palmitoyltransferase_DHHC4%2C_putative	protein_coding
PF3D7-0714400	calmodulin%2C_putative	protein_coding
PF3D7-0714500	transcription_elongation_factor_s-II%2C_putative	protein_coding
PF3D7-0714600	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0714700	tRNA_Asparagine	tRNA
PF3D7-0714800	tRNA_Leucine	tRNA
PF3D7-0714900	tRNA_Serine	tRNA
PF3D7-0715000	PNPase_4-nitrophenylphosphatase	protein_coding
PF3D7-0715100	MYCBP_C-Myc-binding_protein%2C_putative	protein_coding
PF3D7-0715200	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0715300	calcium/calmodulin-dependent_protein_kinase%2C_putative	protein_coding
PF3D7-0715400	PSOP20_secreted_ookinete_protein%2C_putative	protein_coding
PF3D7-0715500	ATP_synthase_subunit_epsilon%2C_mitochondrial%2C_putative	protein_coding
PF3D7-0715600	GTP-binding_translation_elongation_factor_tu_family_protein%2C_putative	protein_coding
PF3D7-0715700	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0715800	DMT1_drug/metabolite_transporter_DMT1%2C_putative	protein_coding
PF3D7-0715900	CDF_zinc_transporter%2C_putative	protein_coding
PF3D7-0716000	RNA-binding_protein%2C_putative	protein_coding
