gene_name	description	ebi_biotype
PF3D7-0108100	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0108300	ARP_conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0108400	mitochondrial_carrier_protein%2C_putative	protein_coding
PF3D7-0108500	ELM2_domain-containing_protein%2C_putative	protein_coding
PF3D7-0108600	DnaJ_domain-containing_protein%2C_putative	protein_coding
PF3D7-0108700	PSOP24_secreted_ookinete_protein%2C_putative	protein_coding
PF3D7-0108800	mitochondrial_carrier_protein%2C_putative	protein_coding
PF3D7-0108900	non-coding_RNA	ncRNA
PF3D7-0109000	PHIL1_photosensitized_INA-labeled_protein_PHIL1	protein_coding
PF3D7-0109100	CCp5_LCCL_domain-containing_protein	protein_coding
PF3D7-0109200	CFIM25_cleavage_and_polyadenylation_specificity_factor_subunit_5%2C_putative	protein_coding
PF3D7-0109300	elongation_of_fatty_acids_protein%2C_putative	protein_coding
PF3D7-0109400	tubulin-specific_chaperone_a%2C_putative	protein_coding
PF3D7-0109500	N-acetyltransferase%2C_GNAT_family%2C_putative	protein_coding
PF3D7-0109600	CoSP_cold-shock_protein%2C_putative	protein_coding
PF3D7-0109700	RRP36_rRNA_biogenesis_protein_RRP36%2C_putative	protein_coding
PF3D7-0109800	cPheRS_phenylalanyl-tRNA_synthetase_alpha_subunit	protein_coding
PF3D7-0109850	phosphatidate_cytidylyltransferase%2C_putative	protein_coding
PF3D7-0109950	C2AP3_respiratory_chain_complex_2_associated_protein_3	protein_coding
PF3D7-0110000	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0110100	SELB_selenocysteine-specific_elongation_factor%2C_putative	protein_coding
PF3D7-0110200	ERV1_FAD-linked_sulfhydryl_oxidase_ERV1%2C_putative	protein_coding
PF3D7-0110300	Plasmodium_RNA_of_unknown_function_RUF5	ncRNA
PF3D7-0110400	RPB9_DNA-directed_RNA_polymerase_II_subunit_RPB9%2C_putative	protein_coding
PF3D7-0110500	BDP3_bromodomain_protein_3%2C_putative	protein_coding
PF3D7-0110600	PIP5K_phosphatidylinositol-4-phosphate_5-kinase	protein_coding
PF3D7-0110700	CAF1C_chromatin_assembly_factor_1_subunit_C%2C_putative	protein_coding
PF3D7-0110800	transcription_initiation_factor_TFIIB%2C_putative	protein_coding
PF3D7-0110900	AKLP1_adenylate_kinase-like_protein_1	protein_coding
PF3D7-0111000	kinesin-8B%2C_putative	protein_coding
PF3D7-0111200	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0111300	P-loop_containing_nucleoside_triphosphate_hydrolase%2C_putative	protein_coding
PF3D7-0111400	GEXP19_gametocyte_exported_protein_19	protein_coding
PF3D7-0111500	UMP-CMP_kinase%2C_putative	protein_coding
PF3D7-0111600	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0111700	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0111800	eukaryotic_translation_initiation_factor_4E%2C_putative	protein_coding
PF3D7-0111900	mitochondrial_distribution_and_morphology_protein%2C_putative	protein_coding
PF3D7-0112000	TatD_TatD-like_deoxyribonuclease	protein_coding
PF3D7-0112100	PIMMS1_PIMMS1_protein	protein_coding
PF3D7-0112200	MRP1_ABC_transporter_C_family_member_1	protein_coding
PF3D7-0112300	18S_ribosomal_RNA	rRNA
PF3D7-0112500	5.8S_ribosomal_RNA	rRNA
PF3D7-0112700	28S_ribosomal_RNA	rRNA
PF3D7-0112800	Plasmodium_exported_protein_(hyp11)%2C_unknown_function	protein_coding
PF3D7-0112900	Plasmodium_exported_protein%2C_unknown_function	protein_coding
PF3D7-0113000	GARP_glutamic_acid-rich_protein_GARP	protein_coding
PF3D7-0113100	SURF1.1_surface-associated_interspersed_protein_1.1_(SURFIN_1.1)	protein_coding
PF3D7-0113200	Plasmodium_exported_protein%2C_unknown_function	protein_coding
PF3D7-0113300	Plasmodium_exported_protein_(hyp1)%2C_unknown_function	protein_coding
PF3D7-0113400	Plasmodium_exported_protein%2C_unknown_function	protein_coding
PF3D7-0113600	SURF1.2_surface-associated_interspersed_protein_1.2_(SURFIN_1.2)%2C_pseudogene	pseudogene
PF3D7-0113700	HSP40_heat_shock_protein_40%2C_type_II	protein_coding
PF3D7-0113800	DBL_containing_protein%2C_unknown_function	protein_coding
PF3D7-0113900	CBP1_Plasmodium_exported_protein_(hyp8)	protein_coding
PF3D7-0114000	EPF1_MEC_domain-containing_protein	protein_coding
PF3D7-0114100	MC-2TM_Pfmc-2TM_Maurer's_cleft_two_transmembrane_protein	protein_coding
PF3D7-0114200	EPF3_Plasmodium_exported_protein_(hyp4)%2C_unknown_function	protein_coding
PF3D7-0114300	EPF4_Plasmodium_exported_protein_(hyp5)%2C_unknown_function%2C_pseudogene	pseudogene
PF3D7-0114400	VAR_erythrocyte_membrane_protein_1_(PfEMP1)%2C_exon_2%2C_pseudogene	pseudogene
